Timestamp,Barcode,Product Name,Price,Status
15:04:22,F01,Doritos Cheese,30,VERIFIED
15:04:22,F05,Nutella Jar,350,VERIFIED
15:04:23,G07,Amul Butter,275,VERIFIED
15:04:23,E08,AirPods Pro,24900,VERIFIED
15:04:23,E10,GoPro Hero 11,41000,VERIFIED
15:04:23,E06,Raspberry Pi 4,6500,VERIFIED
15:04:23,F06,Pringles Chips,110,VERIFIED
15:04:23,G06,Nescafe Coffee,310,VERIFIED
15:04:24,E04,Samsung SSD 1TB,7000,VERIFIED
15:04:24,G03,Aashirvaad Atta,440,VERIFIED
15:04:24,E09,OnePlus Charger,1999,VERIFIED
15:32:32,F06,Pringles Chips,110,VERIFIED
15:32:33,G06,Nescafe Coffee,310,VERIFIED
15:32:33,E08,AirPods Pro,24900,VERIFIED
15:32:33,F01,Doritos Cheese,30,VERIFIED
15:32:34,E09,OnePlus Charger,1999,VERIFIED
15:32:35,E06,Raspberry Pi 4,6500,VERIFIED
15:32:35,E04,Samsung SSD 1TB,7000,VERIFIED
15:32:35,F05,Nutella Jar,350,VERIFIED
15:32:35,G03,Aashirvaad Atta,440,VERIFIED
15:32:35,G07,Amul Butter,275,VERIFIED
15:32:35,E10,GoPro Hero 11,41000,VERIFIED
15:41:28,G03,Aashirvaad Atta,440,VERIFIED
15:41:29,E06,Raspberry Pi 4,6500,VERIFIED
15:41:29,E04,Samsung SSD 1TB,7000,VERIFIED
15:41:29,F05,Nutella Jar,350,VERIFIED
15:41:33,F06,Pringles Chips,110,VERIFIED
15:41:33,G06,Nescafe Coffee,310,VERIFIED
15:41:33,E09,OnePlus Charger,1999,VERIFIED
15:41:33,F01,Doritos Cheese,30,VERIFIED
15:41:35,E08,AirPods Pro,24900,VERIFIED
15:41:35,G07,Amul Butter,275,VERIFIED
12:39:18,E09,OnePlus Charger,1999,VERIFIED
12:39:18,E10,GoPro Hero 11,41000,VERIFIED
12:39:18,G07,Amul Butter,275,VERIFIED
12:39:19,F06,Pringles Chips,110,VERIFIED
12:49:22,E09,OnePlus Charger,1999,VERIFIED
12:49:22,E04,Samsung SSD 1TB,7000,VERIFIED
12:49:24,F01,Doritos Cheese,30,VERIFIED
12:49:25,G07,Amul Butter,275,VERIFIED
12:49:26,F06,Pringles Chips,110,VERIFIED
12:49:26,E06,Raspberry Pi 4,6500,VERIFIED
12:49:27,G06,Nescafe Coffee,310,VERIFIED
12:49:28,G03,Aashirvaad Atta,440,VERIFIED
12:49:32,E08,AirPods Pro,24900,VERIFIED
12:53:59,F05,Nutella Jar,350,VERIFIED
12:54:05,E10,GoPro Hero 11,41000,VERIFIED
13:17:27,G07,Amul Butter,275,VERIFIED
13:17:27,E10,GoPro Hero 11,41000,VERIFIED
13:17:27,F01,Doritos Cheese,30,VERIFIED
13:17:27,F05,Nutella Jar,350,VERIFIED
13:17:28,E09,OnePlus Charger,1999,VERIFIED
13:17:28,E04,Samsung SSD 1TB,7000,VERIFIED
13:18:32,G03,Aashirvaad Atta,440,VERIFIED
16:14:46,E08,AirPods Pro,24900,VERIFIED
16:14:46,E10,GoPro Hero 11,41000,VERIFIED
16:14:46,F01,Doritos Cheese,30,VERIFIED
16:14:46,E09,OnePlus Charger,1999,VERIFIED
16:14:47,G06,Nescafe Coffee,310,VERIFIED
16:14:47,E04,Samsung SSD 1TB,7000,VERIFIED
16:14:49,F06,Pringles Chips,110,VERIFIED
16:14:51,G03,Aashirvaad Atta,440,VERIFIED
16:14:51,E06,Raspberry Pi 4,6500,VERIFIED
16:14:51,F05,Nutella Jar,350,VERIFIED
16:14:52,G07,Amul Butter,275,VERIFIED
